Iteracion no.:1
x	 y	 z
4901235064832.000000	 265578135552.000000	 844843712512.000000
8557181440.000000	 114409242624.000000	 94518960128.000000
4781343232.000000	 7347076608.000000	 17020704768.000000
2081189504.000000	 5634731008.000000	 10661737472.000000
6860597760.000000	 2351858176.000000	 5583476224.000000
1984560128.000000	 4439790592.000000	 7748509184.000000
1301351424.000000	 1042652672.000000	 2311491328.000000
429378720.000000	 529225184.000000	 1280499840.000000
1215119.750000	 1022193.437500	 439001.062500
Iteracion no.:12
x	 y	 z
6371240050688.000000	 345231753216.000000	 1098233872384.000000
11123704832.000000	 148723580928.000000	 122867671040.000000
6215414272.000000	 9550688256.000000	 22125725696.000000
2705416704.000000	 7324804608.000000	 13859599360.000000
8918434816.000000	 3057299200.000000	 7258241536.000000
2579865344.000000	 5771587072.000000	 10072813568.000000
1691735552.000000	 1355431552.000000	 3004900864.000000
558194368.000000	 687995008.000000	 1664654720.000000
1579720.625000	 1329546.250000	 571174.812500
Iteracion no.:13
x	 y	 z
8109195001856.000000	 439404462080.000000	 1397811445760.000000
14158046208.000000	 189292658688.000000	 156383707136.000000
7910885888.000000	 12155971584.000000	 28161277952.000000
3443425536.000000	 9322940416.000000	 17640359936.000000
11351365632.000000	 3891325696.000000	 9238276096.000000
3283678720.000000	 7346133504.000000	 12820774912.000000
2153272832.000000	 1725218176.000000	 3824693248.000000
710486016.000000	 875700096.000000	 2118820480.000000
2010739.500000	 1692993.375000	 727500.375000
Iteracion no.:14
x	 y	 z
10137530007552.000000	 549311774720.000000	 1747443384320.000000
17699366912.000000	 236640092160.000000	 195499720704.000000
9889638400.000000	 15196553216.000000	 35205267456.000000
4304741888.000000	 11654930432.000000	 22052818944.000000
14190790656.000000	 4864701440.000000	 11549135872.000000
4105084672.000000	 9183751168.000000	 16027859968.000000
2691918336.000000	 2156784640.000000	 4781447680.000000
888219520.000000	 1094762624.000000	 2648858112.000000
2513729.000000	 2117232.250000	 910002.187500
Iteracion no.:15
x	 y	 z
12478681448448.000000	 676169252864.000000	 2150996115456.000000
21786834944.000000	 291289595904.000000	 240648273920.000000
12173557760.000000	 18706061312.000000	 43335598080.000000
5298892288.000000	 14346565632.000000	 27145779200.000000
17468114944.000000	 5988191744.000000	 14216377344.000000
5053166592.000000	 11304765440.000000	 19729537024.000000
3313629184.000000	 2654905088.000000	 5885744128.000000
1093359744.000000	 1347605248.000000	 3260627456.000000
3094240.250000	 2606959.250000	 1120704.875000
Iteracion no.:16
x	 y	 z
15155081510912.000000	 821192491008.000000	 2612337049600.000000
26459625472.000000	 353764737024.000000	 292261986304.000000
14784533504.000000	 22718124032.000000	 52630167552.000000
6435401216.000000	 17423636480.000000	 32968040448.000000
21214740480.000000	 7272563200.000000	 17265559552.000000
6137007104.000000	 13729495040.000000	 23961274368.000000
4024362240.000000	 3224349952.000000	 7148164096.000000
1327871616.000000	 1636649856.000000	 3959989760.000000
3757826.000000	 3166871.000000	 1361633.000000
Iteracion no.:17
x	 y	 z
18189159235584.000000	 985596952576.000000	 3135332679680.000000
31756908544.000000	 424589230080.000000	 350773542912.000000
17744445440.000000	 27266369536.000000	 63166885888.000000
7723795456.000000	 20911935488.000000	 39568404480.000000
25462071296.000000	 8728580096.000000	 20722239488.000000
7365693440.000000	 16478266368.000000	 28758540288.000000
4830072832.000000	 3869892096.000000	 8579286016.000000
1593720448.000000	 1964318336.000000	 4752805376.000000
4510037.000000	 3801664.750000	 1634810.875000
Iteracion no.:18
x	 y	 z
21603354148864.000000	 1170598264832.000000	 3723850153984.000000
37717827584.000000	 504286707712.000000	 416615497728.000000
21075191808.000000	 32384423936.000000	 75023671296.000000
9173603328.000000	 24837251072.000000	 46995664896.000000
30241509376.000000	 10367010816.000000	 24611973120.000000
8748306432.000000	 19571402752.000000	 34156802048.000000
5736718336.000000	 4596302848.000000	 10189690880.000000
1892871296.000000	 2333031936.000000	 5644934656.000000
5356426.500000	 4516037.500000	 1942263.000000
Iteracion no.:19
x	 y	 z
25420095291392.000000	 1377412186112.000000	 4381756096512.000000
44381552640.000000	 593380769792.000000	 490220421120.000000
24798642176.000000	 38105915392.000000	 88278409216.000000
10794350592.000000	 29225373696.000000	 55298625536.000000
35584454656.000000	 12198618112.000000	 28960319488.000000
10293937152.000000	 23029225472.000000	 40191533056.000000
6750255104.000000	 5408353280.000000	 11989957632.000000
2227289344.000000	 2745213440.000000	 6642237952.000000
6302544.500000	 5314685.500000	 2286013.500000
